Symbol,Date,Close,High,Low,Open,Volume
AAPL,2016-01-01,105.26,105.26,105.26,105.26,0
AAPL,2016-01-04,105.35,105.368,102.0,102.61,67649387
AAPL,2016-01-05,102.71,105.85,102.41,105.75,55790992
AAPL,2016-01-06,100.7,102.37,99.87,100.56,68457388
AAPL,2016-01-07,96.45,100.13,96.43,98.68,81094428
AAPL,2016-01-08,96.96,99.11,96.76,98.55,70798016
AAPL,2016-01-11,98.53,99.06,97.34,98.97,49739377
AAPL,2016-01-12,99.96,100.69,98.8399,100.55,49154227
AAPL,2016-01-13,97.39,101.19,97.3,100.32,62439631
AAPL,2016-01-14,99.52,100.48,95.74,97.96,63170127
AAPL,2016-01-15,97.13,97.71,95.36,96.2,79833891
AAPL,2016-01-18,97.13,97.13,97.13,97.13,0
AAPL,2016-01-19,96.66,98.65,95.5,98.41,53087747
AAPL,2016-01-20,96.79,98.1897,93.42,95.1,72334416
AAPL,2016-01-21,96.3,97.88,94.94,97.06,52161463
AAPL,2016-01-22,101.42,101.46,98.37,98.63,65800467
AAPL,2016-01-25,99.44,101.53,99.21,101.52,51794525
AAPL,2016-01-26,99.99,100.88,98.07,99.93,75077002
AAPL,2016-01-27,93.42,96.6289,93.34,96.04,133369674
AAPL,2016-01-28,94.09,94.52,92.39,93.79,55678825
AAPL,2016-01-29,97.34,97.34,94.35,94.79,64416504
AAPL,2016-02-01,96.43,96.71,95.4,96.47,40943541
AAPL,2016-02-02,94.48,96.04,94.28,95.42,37357215
AAPL,2016-02-03,96.35,96.84,94.08,95.0,45964294
AAPL,2016-02-04,96.6,97.33,95.19,95.86,46471652
AAPL,2016-02-05,94.02,96.92,93.69,96.52,46418064
AAPL,2016-02-08,95.01,95.7,93.04,93.13,54021375
AAPL,2016-02-09,94.99,95.94,93.93,94.29,44331195
AAPL,2016-02-10,94.27,96.35,94.1,95.92,42343601
AAPL,2016-02-11,93.7,94.72,92.59,93.79,50074711
AAPL,2016-02-12,93.99,94.5,93.01,94.19,40351381
AAPL,2016-02-15,93.99,93.99,93.99,93.99,0
AAPL,2016-02-16,96.64,96.85,94.61,95.02,49057916
AAPL,2016-02-17,98.12,98.21,96.15,96.67,44863243
AAPL,2016-02-18,96.26,98.89,96.091,98.84,39020983
AAPL,2016-02-19,96.04,96.7599,95.8,96.0,35374173
AAPL,2016-02-22,96.88,96.9,95.92,96.31,34280758
AAPL,2016-02-23,94.69,96.5,94.55,96.4,31942633
AAPL,2016-02-24,96.1,96.38,93.32,93.98,36255745
AAPL,2016-02-25,96.76,96.76,95.25,96.05,27582659
AAPL,2016-02-26,96.91,98.0237,96.58,97.2,28991131
AAPL,2016-02-29,96.69,98.23,96.65,96.86,35216277
AAPL,2016-03-01,100.53,100.77,97.42,97.65,50407147
AAPL,2016-03-02,100.75,100.89,99.64,100.51,33169559
AAPL,2016-03-03,101.5,101.7099,100.45,100.58,36955742
AAPL,2016-03-04,103.01,103.75,101.37,102.37,46055100
AAPL,2016-03-07,101.87,102.83,100.96,102.39,35915810
AAPL,2016-03-08,101.03,101.76,100.4,100.78,31561889
AAPL,2016-03-09,101.12,101.58,100.27,101.31,27201683
AAPL,2016-03-10,101.17,102.24,100.15,101.41,33513576
AAPL,2016-03-11,102.26,102.28,101.5,102.24,27408237
AAPL,2016-03-14,102.52,102.91,101.78,101.91,25076062
AAPL,2016-03-15,104.58,105.18,103.85,103.96,40067734
AAPL,2016-03-16,105.97,106.31,104.59,104.61,38303493
AAPL,2016-03-17,105.8,106.47,104.96,105.52,34420705
AAPL,2016-03-18,105.92,106.5,105.19,106.34,44205171
AAPL,2016-03-21,105.91,107.65,105.1401,105.93,35502678
AAPL,2016-03-22,106.72,107.29,105.21,105.25,32444375
AAPL,2016-03-23,106.13,107.07,105.9,106.48,25703495
AAPL,2016-03-24,105.67,106.25,104.89,105.47,26132955
AAPL,2016-03-25,105.67,105.67,105.67,105.67,0
AAPL,2016-03-28,105.19,106.19,105.06,106.0,19411372
AAPL,2016-03-29,107.68,107.79,104.88,104.89,31190083
AAPL,2016-03-30,109.56,110.42,108.6,108.65,45601149
AAPL,2016-03-31,108.99,109.9,108.88,109.72,25888449
AAPL,2016-04-01,109.99,110.0,108.2,108.78,25873950
AAPL,2016-04-04,111.12,112.19,110.27,110.42,37356204
AAPL,2016-04-05,109.81,110.73,109.42,109.51,26578652
AAPL,2016-04-06,110.96,110.98,109.2,110.23,26404077
AAPL,2016-04-07,108.54,110.42,108.121,109.95,31801870
AAPL,2016-04-08,108.66,109.77,108.17,108.91,23581740
AAPL,2016-04-11,109.02,110.61,108.83,108.97,29407518
AAPL,2016-04-12,110.44,110.5,108.66,109.34,27232325
AAPL,2016-04-13,112.04,112.34,110.8,110.8,33257316
AAPL,2016-04-14,112.1,112.39,111.33,111.62,25473923
AAPL,2016-04-15,109.85,112.3,109.73,112.11,46938969
AAPL,2016-04-18,107.48,108.95,106.94,108.89,60821461
AAPL,2016-04-19,106.91,108.0,106.23,107.88,32384878
AAPL,2016-04-20,107.13,108.09,106.06,106.64,30611030
AAPL,2016-04-21,105.97,106.93,105.52,106.93,31552525
AAPL,2016-04-22,105.68,106.48,104.62,105.01,33683121
AAPL,2016-04-25,105.08,105.65,104.51,105.0,28031588
AAPL,2016-04-26,104.35,105.3,103.91,103.91,56016165
AAPL,2016-04-27,97.82,98.71,95.68,96.0,114602142
AAPL,2016-04-28,94.83,97.88,94.25,97.61,82242690
AAPL,2016-04-29,93.74,94.72,92.51,93.99,68531478
AAPL,2016-05-02,93.64,94.08,92.4,93.965,48160104
AAPL,2016-05-03,95.18,95.74,93.68,94.2,56831277
AAPL,2016-05-04,94.19,95.9,93.82,95.2,41025475
AAPL,2016-05-05,93.24,94.07,92.68,94.0,35890500
AAPL,2016-05-06,92.72,93.45,91.85,93.37,43699886
AAPL,2016-05-09,92.79,93.77,92.59,93.0,32936436
AAPL,2016-05-10,93.42,93.57,92.11,93.33,33686836
AAPL,2016-05-11,92.51,93.57,92.46,93.48,28719109
AAPL,2016-05-12,90.34,92.78,89.47,92.72,76314690
AAPL,2016-05-13,90.52,91.67,90.0,90.0,44392765
AAPL,2016-05-16,93.88,94.39,91.65,92.39,61259756
AAPL,2016-05-17,93.49,94.7,93.01,94.55,46916939
AAPL,2016-05-18,94.56,95.21,93.89,94.16,42062391
AAPL,2016-05-19,94.2,94.64,93.57,94.64,30442100
AAPL,2016-05-20,95.22,95.43,94.52,94.64,32025968
AAPL,2016-05-23,96.43,97.19,95.67,95.87,38018643
AAPL,2016-05-24,97.9,98.09,96.84,97.22,35140174
AAPL,2016-05-25,99.62,99.74,98.11,98.67,38642108
AAPL,2016-05-26,100.41,100.73,98.64,99.68,56331159
AAPL,2016-05-27,100.35,100.47,99.245,99.44,36341240
AAPL,2016-05-30,100.35,100.35,100.35,100.35,0
AAPL,2016-05-31,99.86,100.4,98.82,99.6,42307212
AAPL,2016-06-01,98.46,99.54,98.33,99.02,29173285
AAPL,2016-06-02,97.72,97.84,96.63,97.6,40191600
AAPL,2016-06-03,97.92,98.27,97.45,97.79,28504888
AAPL,2016-06-06,98.63,101.89,97.55,97.99,23292504
